Boring machine operator (oil and gas),"Boring machine operators operate machinery and equipment at mining and drilling sites, e.g. for construction, exploration, extraction and research. ","1. Move drilling equipment to the right location, e.g. by driving or controlling the load and upload of it.","2. Set up drilling and hoisting machinery, e.g. connecting drill pipe sections, etc.",3. Connect power cables or hoses for water and air supply.,"4. Operate the drilling machinery, e.g. by regulating pressure of tools, controlling the speed of rotary tables and air flow, etc. ",5. Operate slush pumps in order to ensure circulation and consistency of drilling fluid or mud in well.,6. Correct problems in drilled holes caused by mechanical breakdowns or by harmful natural conditions.,"7. Locate and recover lost or broken bits, casings, drill pipes, etc. from wells using special tools.","8. Maintain records, e.g. of footage drilled, materials and tools used, etc.",9. Report information about the drilling process to the supervisor.,10. Supervise and train crew.,,
Building architect,"Building architects plan and develop designs for the construction and renovation of commercial, institutional, industrial and residential buildings. ","1. Consult with clients and other relevant contacts (such as landscape architects or planning authorities) to obtain relevant information, for example on costs and functional and spatial requirements.",2. Conduct feasibility studies and financial analyses of building projects. ,"3. Conceptualise, create and develop designs for construction and renovation of buildings and other structures.",4. Design landscape near buildings.,"5. Prepare sketches, scale drawings, models etc., for example using computer-aided design (CAD) equipment.",6. Prepare a work planning for construction projects.,7. Coordinate and administer construction projects.,8. Represent clients in obtaining bids and awarding construction contracts. ,9. Prepare or supervise the preparation of contract documents and specifications. ,"10. Observe, inspect and monitor building work.",11. Evaluate projects.,"12. Give advise on other construction designs, e.g. concerning building law and architectural style."
Building structure engineer,"Building structure engineers perform engineering duties in planning, designing, and overseeing construction and maintenance of building structures.","1. Conduct preliminary research, for example by examining building sites. ","2. Consult with clients and other relevant contacts (such as government authorities, engineers) to obtain relevant information.",3. Design the framework of buildings.,4. Develop building plans in accordance with relevant building codes and regulations.,"5. Give advice to clients and other parties involved, for example on materials and working procedures.","6. Prepare sketches, scale drawings etc., for example using computer-aided design (CAD) equipment.",7. Describe building materials specifications and standards that have to be complied with.,8. Evaluate and incorporate work plans and drawings of third parties.,"9. Negotiate with building contractors, for example on costs and work planning.",10. Coordinate and administer the preparation and execution of building projects.,11. Control and supervise all stages of construction.,"12. Inspect project sites to coordinate work, monitor progress and ensure conformity to design specifications and standards."
Butcher or fishmonger in retail,"Butchers or fishmongers in retail cut, trim or prepare consumer-sized portions of meat or fish for use or sale in retail establishments.",1. Order meat or fish supplies and maintain stocks.,"2. Receive, inspect and store meat or fish upon delivery, and arrange payment. ","3. Prepare standard or specially ordered cuts and products of meat or fish, e.g. cut, slice, trim, bone, shape, tie and grind meats (e.g. beef, pork, poultry), or scale, head, gut, wash and bone fish.",4. Price and place meat or fish cuts and products in display counters.,"5. Sell meat or fish to customers, including wrapping, weighing and labelling products, and collecting payments.","6. Advise customers, e.g. on storing, preparing and cooking meat or fish, or on estimating food portions.",7. Clean tools and work surfaces.,"8. Undertake activities related to running a retail business, e.g. maintain financial and other records, arrange advertising, security, etc.","9. Manufacture own meat or fish products, e.g. marinated meats, sausages, pies, ready-to-cook foods, etc.","10. Supervise staff, e.g. other butchers, meat cutters, fishmongers or fish filleters. ",,
Car mechanic,"Car mechanics repair, maintain and service (components of) vehicles ","1. Examine vehicles to determine extent of damage or malfunctions, estimate repair costs. ","2.      Confer with customers to obtain descriptions of vehicle problems, and to discuss work to be performed.","3.      Inspect vehicles ensuring all important parts are examined, including belts, hoses, steering systems, spark plugs, brake and fuel systems, wheel bearings, and other parts","4.      Test components and systems, using suitable equipment such as compression gauges.",5.      Plan work procedures.,"6.      Repair, replace, or adjust worn and faulty parts,  using suitable tools and equipment.","7.      Perform routine and scheduled maintenance services such as oil changes, lubrications, etc.",8.  Test and adjust repaired parts or assemblies to make sure they work properly.,9.  Carry out minor body and trim repairs.,,,
Carer for the disabled,"Carers for the disabled assist disabled adults with daily living activities at the person's home, or in a daytime non-residential facility; not in institutions. Duties performed at a place of residence may include keeping house (making beds, doing laundry, washing dishes) and preparing meals. May provide meals and supervised activities at non-residential care facilities. May advise families and the disabled on such things as nutrition, cleanliness, and household utilities.","1. Give support to disabled patients at home, or in a day care institution with daily living tasks such as washing, dressing, eating, drinking, transport and budgeting","2. Perform housekeeping duties, such as cooking and running errands",3. Carry out health care related tasks such as monitoring vital signs (under the supervision of registered nurses and physiotherapists),"4. Administer medication orally, via rectum, subcutaneously and intramuscularly",5. Transport/accompany patient to locations outside home or institution,6. Educate family to provide bedside care,7. Report changes in client’s condition and the services offered,8. Create individual care programmes,"9. Coordinate and arrange activities to enhance patient’s physical, social, emotional and intellectual development",10. Create and maintain records of patient’s progress/development and services performed,11. Consult with other health care providers about patient,12. Clean and sterilise the care equipment
Carer for the elderly,"Carers for the elderly assist elderly adults with daily living activities at the person's home, or in a daytime non-residential facility; not in institutions. Duties performed at a place of residence may include keeping house (making beds, doing laundry, washing dishes) and preparing meals. May provide meals and supervised activities at non-residential care facilities. May advise families and the elderly on such things as nutrition, cleanliness, and household utilities.","1. Give support to elderly patients at home, or in a day care institution with daily living tasks such as washing, dressing, eating, drinking, transport and budgeting","2. Perform housekeeping duties, such as cooking and running errands",3. Carry out health care related tasks such as monitoring vital signs (under the supervision of registered nurses and physiotherapists),"4. Administer medication orally, via rectum, subcutaneously and intramuscularly",5. Transport/accompany patients to locations outside home or institution,6. Educate family to provide bedside care,7. Report changes in patient’s condition and the services offered,8. Create individual care programmes,"9. Coordinate and arrange activities to enhance patient’s physical, social, emotional and intellectual development",10. Create and maintain records of client’s progress/development and services performed,11. Consult with other health care providers about patient,12. Clean and sterilise the care equipment
Carpenter,"Carpenters construct, erect, install, or repair structures and fixtures made of wood, wood-substitutes and other materials (e.g. metal, plastic and plasterboard). ","1.      Study drawings, specifications product information, sketches or building plans to prepare the carpentry work.","2.      Measure distances and materials and mark cutting lines on materials using ruler, pencil, chalk, marking gauge, measuring tape, etc.","3. Check existing structures using tools such as levels, framing squares, etc. ","4.      Shape, saw or cut (building) materials (e.g. boards, timber, plywood) to specified measurements, e.g. using hand or power tools.","5.      Fasten (building) materials with varying fastening materials, such as screws, nails, glue, bolts, etc. ","6.      Erect scaffolding, (roof) supports, chutes etc. to work above ground level. ","7.      Remove damaged or defective parts or sections of structures and repair or replace these, e.g. using carpenter's hand tools and power tools.","8.      Install and repair doors, frames, timber floors, roofs, suspended ceilings etc. , e.g. using carpenter's hand and power tools.","9.  Finish seams and connections with lute, skirting, moulding, etc. ",,,
Cashier,Cashiers accept payments from customers and give change in respect of sales and services.,1. Greet customers entering establishments and answer customers' questions about e.g. products and services. ,2. Count money in cash drawers to ensure that amounts are correct and that there is adequate change.,"3. Establish or identify prices of goods, services or admission, and tabulate and total bills using e.g. cash registers, optical price scanners, bar code readers or calculators. ","4. Receive and record payment by cash, cheque, credit cards, vouchers or automatic debits. ","5. Issue receipts, refunds, credits or change due to customers. ","6. Issue trading stamps, redeem food stamps and coupons, and process loyalty cards. ","7. Remove price tags, special security tabs, etc. and, if necessary, pack goods.",8. Handle returns and exchanges.,9. Resolve customer complaints and provide information on procedures or policies.,"10. Maintain clean and orderly checkout area and stock it with change, till rolls, carrier bags and other items. ","11. Calculate total payments received and reconcile takings with receipts and till rolls, and maintain other transaction records.",
Charge nurse,"Charge nurses asess patient health problems and needs, develop and implement nursing care plans, and maintain medical records. Administer nursing care to ill, injured, convalescent, or disabled patients. May advise patients on health maintenance and disease prevention or provide case management. Licensing or registration required. Includes advance practice nurses such as: nurse practitioners, clinical nurse specialists, certified nurse midwives, and certified registered nurse anesthetists. Advanced practice nursing is practiced by rns who have specialized formal, post-basic education and who function in highly autonomous and specialized roles.",1. Supervise nurses and other hospital staff in the unit,2. Monitor symptoms and changes in patients’ condition,3. Assess patient health problems and needs,"4. Develop, implement and evaluate nursing care plans",5. Create and maintain medical reports and records,6. Assist the patients in daily living activities ,"7. Administer medication orally, via rectum, subcutaneously and intramuscularly",8. Prepare patients for operations and assist with examinations and treatments,9. Monitor and adjust medical equipment used in patient care and treatment,10. Consult and coordinate with health care team,11. Monitor the quality of patient care,"12. Manage the unit, e.g. Staffing, financial resources and division of rooms"
Child care service manager,"Child care service managers plan, direct, or coordinate the activities of child care centers or programs ",1. Direct and coordinate child care personnel. ,"2. Determine allocations of funds for staff, supplies, materials, equipment etc.","3. Prepare and maintain records and accounts of the child care centre (e.g., planning, activity reports, personnel reports, records for officials).",4. Manage physical facilities and make sure all buildings and equipment are maintained.,"5. Review and interpret government codes, and develop procedures to meet codes (e.g., concerning safety and security). ","6. Set standards and develop programmes to enhance the physical, emotional and intellectual development of young children.",7. Monitor children’s progress. ,"8. Confer with parents or guardians, e.g. report on the progress of their children and, if necessary, help them to solve problems.",9. Recruit and evaluate staff and coordinate their professional development.,,,
Child carer,"Child carers attend to children at schools, businesses, private households, and child care institutions. Perform a variety of tasks, such as dressing, feeding, bathing, and overseeing play. ","1. Prepare daily and long term schedules of activities, ensuring that children have proper rest periods and that activities stimulate children’s physical, emotional, intellectual and social growth.","2. Organise and prepare activities and play, set up the children’s environment. ",3. Observe and monitor children’s activities.,"4. Instruct children, e.g. in health and personal habits such as eating, resting and toilet habits.","5. Discipline children and initiate other measures to control behaviour, such as caring for own clothing and picking up toys and books. Recommend is removed, is part of the parent-task.","6. Keep records on individual children, including daily observations.","7. Attend to children’s basic needs, e.g. bathe, diaper, dress and feed babies or help young children with daily routines such as toileting, dressing, eating and sleeping.",8. Prepare light snacks and meals.,"9. Confer with parents or guardians through informal meetings or scheduled conferences, e.g. to discuss each child’s progress and needs and to suggest ways in which they can stimulate their learning and development.",,,
Civil engineering technician,"Civil engineering technicians design, and oversee construction and maintenance of structures and facilities (e.g. water supply systems, road and highway systems, buildings). ","1.      Perform calculations (e.g. dimensions, square footage, profile and component specifications, material quantities) using calculator or computer. ","2.      Plan and conduct field surveys, inspections or technical investigations (e.g. of topography, soils, drainage and water supply systems, road and highway systems, buildings and structures). ","3.      Analyse details of project sites and illustrate findings (e.g. by designing maps, graphs, tracings and diagrams).",4.      Prepare reports and document project activities and data. ,5.      Develop drawings and design layouts for projects.,"6.      Develop plans and estimate costs for installation of systems, utilisation of facilities, or construction of structures. ",7.      Read and review project blueprints and structural specifications e.g. to determine dimensions of structure or system and material requirements. ,"8.      Confer with supervisor to determine project details such as plan preparation, acceptance testing, and evaluation of field conditions. ",9.      Inspect project site and evaluate contractor work to detect design malfunctions and ensure conformity to specifications and codes. ,10.  Report maintenance problems occurring at project site and negotiate changes to resolve system conflicts.,,
"Cleaner in offices, schools or other establishments","Cleaners in offices, schools or other establishments keep buildings in clean and orderly condition. Perform heavy cleaning duties, such as cleaning floors, shampooing rugs, washing walls and glass, and removing rubbish. ","1. Assess the condition of surfaces to be cleaned and select cleaning methods (e.g. sweeping, mopping, washing, sealing, vacuuming, shampooing, polishing, degreasing, sanitising).",2. Develop work plans setting parameters for time and work flow.  ,"3. Select and prepare appropriate machines, tools, cleaning and surface treatment, and erect ladders.",4. Prepare cleaning solutions by mixing water and detergents or acids in containers according to specifications. ,"5. Perform work, such as cleaning floors, corridors, stairs, and restrooms, shampooing carpets and rugs, removing rubbish, and cleaning waste containers. ","6. Clean windows, glass partitions and mirrors using soapy water or other cleaners, sponges and squeegees.",7. Identify surface soiling and change and document them.,8. Notify managers about the need for repairs. ,9. Determine when more supplies and equipment is needed for cleaning and maintenance duties. ,10. Carry out the basic maintenance of the cleaning machinery.,,
"Climatologist, metereologist","Climatologists, metereologists Investigate atmospheric phenomena and interpret meteorological data gathered by surface and air stations, satellites, radar etc. to prepare reports and forecasts for public and other uses and to improve general/scientific understanding of climate.","1. Gather meteorological data by surface, upper level and other measurements (including satellite cloud images, remote sensing data, radar and other information about atmospheric conditions). ","2. Study and interpret relevant information (e.g., data, reports, maps, photographs, charts).","3. Predict long- and short-range weather conditions using weather forecasting tools (e.g. computer models) and relevant knowledge (e.g., climate theory, physics, mathematics). ","4. Produce weather reports and maps (e.g. for analysis, distribution, use in weather broadcasts). ","5. Prepare forecasts and briefings for different types of audiences, such as the general public, industries (e.g. aviation, marine, fishing, farming, forestry), or government. ","6. Broadcast weather conditions, forecasts, and weather warnings to the public via television, radio, and/or the Internet, and/or provide this information to the news media. ","7. Apply meteorological knowledge to problems in areas including environment, agriculture, pollution control, and water management.","8. Conduct basic or applied meteorological research into the processes and determinants of atmospheric phenomena, weather, climate, etc. ",9. Design and develop weather forecasting tools (e.g. mathematical and computer models). ,10. Maintain equipment and tools used to gather meteorological data.,,
Cloakroom attendant,"Cloakroom attendants store and keep safe guests’ coats, bags and other belongings during their stay, e.g. in theatres, concert halls, hotels, restaurants or museums.  ","1. Welcome guests and receive coats, bags, umbrellas and other personal belongings from them.",2. Assign a specific number to the belongings.,3. Give the guests a ticket that corresponds to the number of their belongings.,4. Calculate costs when payment is required and handle money.,"5. Store coats, bags and other personal belongings according to the ticket number and keep them safe.","6. Return coats, bags and other personal belongings to the guests. ",7. Keep the cloakroom area clean and tidy. ,"8. Answer customer enquiries or inform guests about the costs, availability, policies and procedures of the facilities.",9. Refer guest problems or complaints to supervisors.,"10. Report and document safety hazards, potentially hazardous conditions, and unsafe practices and procedures. ",,
CNC operator,CNC operators operate computer-controlled machines or robots to perform machine functions on metal or plastic workpieces.,"1. Determine specifications (material, machine operation, etc.), tool and equipment requirements and procedure sequences from blueprints, instructions and machine knowledge.",2. Select tools and materials necessary for the job. ,3. Set up machine controls by turning the planned machining operations into a set of instructions.,4. Test the machine operation by a trial run or using computer simulations.,5. Operate CNC-machines for manufacturing.,"6. Control machines during operation, e.g. by listening and observing, in order to detect problems or irregularities.",7. Confer with supervisor or programmer to resolve machine malfunctions and production problems.,"8. Adjust machines in case of malfunctioning, problems or irregularities.","9. Mount, install, align and secure tools, attachments, fixtures and workpieces on machines, e.g. using hand tools and precision measuring instruments.",10. Maintain machines and remove and replace broken or worn machine parts using hand tools.,,
Community or social service worker,"Community and social service workers administer and implement a variety of social assistance programs and community services. They assist clients to deal with personal and social problems. They are employed by social service and government agencies, group homes, correctional facilities and other establishments. ",1. Prepare intake records of clients,"2. Assess client, e.g. by gathering general background information ","3. Investigate clients’ eligibility for social benefits, social programmes and community services",4. Advise and assist recipients of social benefits,"5. Analyse clients’ problems (financial, social and psychological) and develop strategies to solve them",6. Provide counselling to clients,7. Guide self-help groups to share experiences,8.  assistcommunity groups to plan and carry out self-help programmes ,9. Evaluate effectiveness of social programmes,"10. Consult and coordinate with the other professionals, such as other social service agencies",,
"Company Director, Chief Executive 10-50 employees","Company directors, chief executives (10-50 employees) determine and formulate policies and provide the overall direction of company, especially concerning its products and markets. Plan, direct or coordinate company’s operational activities.","1. Establish objectives and strategies for the company, especially concerning its products and markets.",2. Formulate or approve company’s policies and procedures.,"3. Plan and organise company’s activities, assign tasks to staff and delegate responsibilities.",4. Prepare and control budgets.,"5. Negotiate or approve contracts and agreements with suppliers, distributors, state agencies and other organisations.","6. Study company’s competitiveness in the market and competitors’ strategies, and endeavour to find new markets.","7. Hire, dismiss and promote staff, and organise staff training.",8. Supervise staff.,"9. Confer with other managers, organisation officials and staff members to discuss issues, coordinate activities and resolve problems.","10. Represent the company at meetings, conventions and seminars, and liaise with other organisations.","11. Manage the maintenance and repair of facilities, machinery, equipment and other resources.",12. Analyse operations to evaluate performance and to develop and implement procedural or policy changes to improve operations and systems.
Concrete steel worker,Concrete steel workers position and secure steel bars or steel mesh to reinforce concrete constructions. ,1. Read and interpret work drawings and specifications. ,"2. Prepare the work, for instance determine the required materials (quantity, size etc.). ",3. Cut or saw steel bars or steel mesh in the required length.,4. Bend steel bars or steel mesh in the required shape.,"5. Assemble steel bars or steel mesh, e.g. by welding or using a steelfixer's pincer. ","6. Hoist steel bars, steel mesh and reinforcements into place.","7. Connect columns, beams, footings and girders.",8. Position and fix reinforcements ready for concrete pour.,"9. Prepare the concrete, mixing sand, cement and water.",10. Pour concrete in the concrete form.,11. Maintain a safe and clean environment. ,
Confectionery maker,"Confectionery makers produce all kinds of confectionery by mixing sweeteners and other ingredients, shaping, baking and decorating. ","1. Determine confectionery types and quantities to be made, e.g. by examining production schedules.",2. Order ingredients from wholesalers.,"3. Prepare ingredients (weigh, measure, mix, dissolve and boil in pans) according to recipes.","4. Check batch consistency, e.g. using a stainless steel spatula or measuring equipment such as a refractometer.",5. Shape mixture before baking.,6. Load and unload mixture into and from ovens using tins and trays.,"7. Operate equipment, e.g. mixing machines, ovens and other equipment.",8. Monitor the production process (e.g. control temperature and pressure in cookers) and make adjustments if necessary.,9. Glaze or decorate with icing or cream.,10. Sort and inspect finished or partly finished products.,"11. Check, clean and maintain the cleanliness of equipment and utensils to make sure health and safety regulations are met.",
Construction bricklayer,"Construction bricklayers lay and bind bricks, pre-cut stone, concrete blocks and other types of building blocks in/with mortar and other substances to construct walls, foundations, partitions, arches and other structures.","1.      Analyse and interpret work orders, e.g. study drawings to determine specifications and to calculate the materials required. ","2.      Measure distance from reference points and mark guidelines to lay out work, e.g. by using plumb bobs and levels.",3.      Calculate angles and courses and determine vertical and horizontal alignment of courses. ,"4.      Lay courses of bricks and other building blocks, from corner to corner, using mason's line. ","5.      Break or cut bricks and other used building material to size, using tools such as trowel edges or hammers.","6.      Mix specified amounts of sand, clay, cement, or mortar powder with water.",7.      Apply and smooth mortar or other mixture over work surface to serve as a base and binder for bricks. ,"8.      Fasten brick or other building material to structure, for example with wire clamps, anchor holes or cement. ",9.      Perform isolation works.,"10. Remove excess mortar, e.g. with trowels and hand tools, and finish mortar joints with jointing tools, for a sealed, uniform appearance. ",11.  Erect scaffolding.,
Database designer,"Database designers design, test and implement databases applying knowledge of database management systems, guarding the protection and security of the database.",1. Draw up a database structure (logical datamodel) to meet the needs and expectations of future users.,2. Perform an ICT-projectstudy to assess the feasability and/or cost of a database.,3. Program databases in computer languages such as Structured Query Language (SQL).,4. Provide data for the database.,5. Testrun databases.,"6. Develop ways to disclose the data for users, for example by programming internet applications.","7. Maintain and adapt existing databases following changing needs of users, or changing possibilities in programming.",8. Make reports based on the data in the database.,,,,
Dental hygienist,"Dental hygienists clean teeth and examine oral areas, head, and neck for signs of oral disease. May educate patients on oral hygiene, take and develop X-rays, or apply fluoride or sealants. ","1. Perform dental assessment of patients, e.g. by examining gums for sores and signs of disease",2. Expose and develop dental x-rays,"3. Clean teeth and gums, e.g. By removing deposits or stains and polishing teeth","4. Perform preventative dental procedures, such as fluoride treatments and applying sealants to fissures","5. Educate and advise patients on dental health, plaque control, oral hygiene and nutrition",6. Apply local anaesthetic for dental procedures,7. Make impressions of patients’ mouths for the construction of study casts and mouth guards,"8. Assist dentists with procedures and treatments, e.g. by polishing tooth restorations ",9. Assist in the prevention and control of dental caries and gum disease,10. Apply and remove periodontal packs and assist in periodontal disease control,11. Report on patients’ condition,
Dental prosthesis technician,Dental prosthesis technicians construct and repair full or partial dentures or dental appliances.,"1. Make, alter and repair appliances for patients with cleft palates, braces and plates for correcting irregular teeth and mouth guards",2. Create models of patient's mouth by pouring plaster into dental impression and allowing plaster to set,"3. Melt metals or mix plaster, porcelain, or acrylic paste, and pour materials into moulds or over frameworks to form dental prostheses or apparatus","4. Prepare metal surfaces for bonding with porcelain to create artificial teeth, using small hand tools","5. Remove excess metal or porcelain, and polish surfaces of prostheses or frameworks using polishing machines",6. Load newly constructed teeth into porcelain furnaces to bake porcelain onto metal framework,"7. Build and shape wax teeth, using small hand instruments and information from observations or dentists' specifications",8. Evaluate functionality of tooth model by positioning the model on apparatus that mimics bite and patient's jaw movement ,9. Polish and finish appliance prior to it being placed in patient's mouth ,10. Consult the work process file(s) ,,
